"language"," filename"," LOC"
"java","configreading/KWICObjectLoader.java"," 22"
"java","io/KWICProtocolMessage.java"," 30"
"java","io/KWICInputStream.java"," 35"
"java","sorting/AlphabeticSorter.java"," 32"
"java","fileparsing/CsvFileParser.java"," 18"
"java","line/Line.java"," 15"
"java","sentenceprocessing/KeywordSearch.java"," 35"
"java","textparsing/DelimTextParser.java"," 19"
"java","fileparsing/AbstractFileParser.java"," 20"
"java","io/ConsoleOutput.java"," 7"
"java","textparsing/AbstractTextParser.java"," 6"
"java","sentenceprocessing/IndexGeneration.java"," 38"
"java","sorting/ReverseAlphabeticSorter.java"," 32"
"java","KWICClient.java"," 92"
"java","sentenceprocessing/KWICProcessor.java"," 41"
"java","sentenceprocessing/AbstractSentencesProcessor.java"," 21"
"java","io/CommandsAsStringListInput.java"," 20"
"java","io/TxtOutput.java"," 18"
"java","fileparsing/PlaintextFileParser.java"," 18"
"java","io/ServerRequestTracker.java"," 26"
"java","KWICDriver.java"," 86"
"java","io/OutputStrategy.java"," 10"
"java","io/KWICOutputStream.java"," 46"
"java","io/InputStrategy.java"," 6"
"java","io/ConsoleInput.java"," 18"
"java","KWICRequestHandler.java"," 21"
"java","configreading/OptionReader.java"," 47"
"java","io/Commands.java"," 8"
"java","sorting/SortingStrategy.java"," 7"
"java","KWICServer.java"," 76"
